checked_jst,trophies,best_trophies,wins,losses,battle_count,pol_current_league,pol_current_trophies,pol_current_rank,pol_last_league,pol_last_trophies,pol_last_rank,pol_best_league,pol_best_trophies,pol_best_rank
2026-08-10 10:19:45,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-10 14:12:10,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-10 19:45:30,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 00:36:46,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 04:44:11,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 07:20:16,14000,14000,10413,7833,18246,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 09:02:23,14000,14000,10415,7834,18249,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 10:21:59,14000,14000,10419,7836,18255,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 13:52:31,14000,14000,10419,7836,18255,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-11 18:44:06,14000,14000,10419,7836,18255,4,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 4, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
