battle_key,battle_time_jst,jst_date,jst_hour,weekday,battle_time_utc,battle_type,game_mode,result,my_crowns,opp_crowns,my_king_hp,my_princess_hp,opp_king_hp,opp_princess_hp,my_trophies_start,trophy_change,opp_trophies_start,team_size,my_deck,opp_deck,opp_tag,opp_name
20260803T071129.000Z_#2UJU9LPJU,2026-08-03 16:11:29,2026-08-03,16,0,20260803T071129.000Z,pathOfLegend,Ranked1v1_NewArena2,loss,0,1,6207,4858,7728,3868|2268,,,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Cannon|Ice Golem|Musketeer|The Log|Ice Spirit|Fireball|Hog Rider|Skeletons,#2UJU9LPJU,
20260803T071702.000Z_#YYQ82JUC0,2026-08-03 16:17:02,2026-08-03,16,0,20260803T071702.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7422,201|1634,7728,2763,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Valkyrie|Firecracker|Baby Dragon|Prince|The Log|Hog Rider|Skeleton Army|Inferno Dragon,#YYQ82JUC0,
20260803T072032.000Z_#R2P28QC9R,2026-08-03 16:20:32,2026-08-03,16,0,20260803T072032.000Z,pathOfLegend,Ranked1v1_NewArena2,win,2,0,7728,4278|4858,7614,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Zap|Balloon|Valkyrie|Lava Hound|Fireball|Tombstone|Mega Minion|Skeleton Dragons,#R2P28QC9R,
20260803T072344.000Z_#JVVPYGPCC,2026-08-03 16:23:44,2026-08-03,16,0,20260803T072344.000Z,pathOfLegend,Ranked1v1_NewArena2,win,2,0,7728,1112|4858,3145,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Goblin Cage|Goblin Drill|Inferno Dragon|Goblin Demolisher|Bats|Poison|Rune Giant|Dart Goblin,#JVVPYGPCC,
20260803T073112.000Z_#RL2YJJ22,2026-08-03 16:31:12,2026-08-03,16,0,20260803T073112.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,3713|892,7728,4080,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Archers|Goblinstein|Royal Hogs|Skeletons|Lightning|The Log|Bomb Tower|Electro Spirit,#RL2YJJ22,
20260803T074122.000Z_#8CCUQRVR2,2026-08-03 16:41:22,2026-08-03,16,0,20260803T074122.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,381|942,7728,938,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Royal Giant|Boss Bandit|Inferno Dragon|Bats|Skeleton Army|Princess|Goblin Barrel|Furnace,#8CCUQRVR2,
20260803T083815.000Z_#9C9R8G09Y,2026-08-03 17:38:15,2026-08-03,17,0,20260803T083815.000Z,pathOfLegend,Ranked1v1_NewArena2,loss,0,1,7728,3490,7728,4423|3846,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Valkyrie|Bowler|Mega Knight|Firecracker|Hog Rider|Electro Wizard|Electro Spirit|Arrows,#9C9R8G09Y,
20260803T084143.000Z_#QQQQP0C0P,2026-08-03 17:41:43,2026-08-03,17,0,20260803T084143.000Z,pathOfLegend,Ranked1v1_NewArena2,win,2,1,3776,3240,59,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Lumberjack|Goblins|Mega Knight|Ram Rider|Zap|Fireball|Spirit Empress|Furnace,#QQQQP0C0P,
20260803T084550.000Z_#2RJ8YYYU2,2026-08-03 17:45:50,2026-08-03,17,0,20260803T084550.000Z,pathOfLegend,Ranked1v1_NewArena2,win,2,1,5110,3602,5985,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Goblin Cage|Barbarian Barrel|Royal Recruits|Flying Machine|Royal Hogs|Arrows|Electro Spirit|Firecracker,#2RJ8YYYU2,
20260803T084928.000Z_#R0VQCV9RP,2026-08-03 17:49:28,2026-08-03,17,0,20260803T084928.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,4335|3137,5832,4670,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Wizard|Tombstone|Mega Knight|Arrows|Skeleton Army|Fire Spirit|Goblin Barrel|Valkyrie,#R0VQCV9RP,
